ID	Control	Treatment
10223_at	8.463350994	7.89271331
10224_at	7.801636122	7.288745138
10225_at	8.211651497	8.224571441
10226_at	8.098094242	6.812893483
10227_at	5.938377503	6.508920277
10228_at	9.566329729	11.22258338
10229_at	13.14308925	13.33440189
10230_at	5.300567349	5.291272365
10231_at	5.926020004	5.780086751
10232_at	8.748315333	9.068981013
10233_at	4.187555153	4.470618659
10234_at	4.897639222	4.36081713
10235_at	6.494527855	6.144242613
10236_at	5.246245239	5.369153478
10237_at	6.676443927	6.724600117
10238_at	10.88176536	8.109448054
10239_at	12.5483561	11.62585967
10240_at	5.876137889	6.027343874
10241_at	6.243995026	8.448093378
10242_at	8.130050478	7.758933769
10243_at	6.621852135	7.310806147
10244_at	4.123619633	5.74201683
10245_at	5.822479679	5.935912743
10246_at	3.945175566	3.28865735
10247_at	9.487313832	7.194089253
10248_at	4.983136275	5.257549001
10249_at	7.080821106	5.940920494
10250_at	3.841626591	3.559640612
10251_at	5.432350387	5.409502184
10252_at	7.233011744	5.891433528
10253_at	9.508947084	9.612953306
10254_at	7.593562337	8.818302425
10255_at	4.565688421	5.05246184
10256_at	5.652567126	9.120848867
10257_at	6.171918854	7.424854165
10258_at	4.865386935	5.266525731
10259_at	7.289211605	6.701154658
10260_at	9.727556146	6.649549901
10261_at	6.843576379	4.342626638
10262_at	4.609829365	5.836786343
10263_at	4.747742726	7.668750547
10264_at	6.617466656	7.264172114
10265_at	11.75616535	12.34412207
10266_at	6.625952129	6.99756902
10267_at	8.11985141	7.753129905
10268_at	9.432251981	6.878406425
10269_at	11.75694198	9.097019969
10270_at	12.89507886	9.93980309
10271_at	6.249640179	4.86449605
10272_at	6.940037202	4.455544747
10273_at	8.615170327	8.255718683
10274_at	10.24158192	7.616607793
10275_at	8.048553514	6.842787772
10276_at	4.561911886	4.235915288
10277_at	8.841401346	6.087095963
10278_at	7.696937649	7.504761521
10279_at	5.292495404	5.533940264
10280_at	7.241875242	7.373153207
10281_at	5.21000756	6.388586086
10282_at	6.548424601	5.227524265
10283_at	3.858984715	4.038021857
10284_at	6.229147723	5.699354984
10285_at	6.614343585	5.828164738
10286_at	9.240348853	9.391039802
10287_at	4.337576441	4.570526896
10288_at	7.207010456	5.260654967
10289_f_at	6.730674417	12.11436444
10290_at	10.37151779	10.48846879
10291_at	4.356152911	4.643220454
10292_at	5.631967218	6.058074211
10293_at	3.578839172	3.754880806
10294_at	5.445523375	7.628305884
10295_at	9.267502626	10.75828415
10296_at	11.86385498	12.7880539
10297_at	6.056481967	6.692162057
10298_at	4.760010378	6.394420659
10299_at	4.411807291	4.53006246
10300_f_at	10.80629801	6.970985637
10301_at	12.71991782	9.080691804
10302_g_at	12.70020677	10.55286363
10303_at	4.184142228	6.69948676
10304_at	7.896444402	8.455470948
10305_at	9.849243379	6.605515237
10306_at	4.671535304	5.721815415
10307_at	3.78241265	5.707680035
10308_at	3.585386643	4.045785223
10309_at	3.47671495	3.721005369
10310_at	7.463131629	6.621472268
10311_at	5.617913534	5.499597481
10312_at	7.932227017	6.53285336
10313_at	10.91317236	7.684504695
10314_at	8.005615418	5.675968722
10315_at	7.986718013	9.002874022
10316_at	6.543870143	6.966402209
10317_at	6.859652911	6.273907509
10318_at	8.027938265	6.477435545
10319_at	9.312033419	9.007690563
10320_at	4.571153072	5.070265158
10321_at	8.457950017	7.744096281
10322_at	6.649062276	5.754559105
10323_at	9.854058077	9.510600861
10324_at	8.381092219	8.061632036
10325_at	11.17666957	8.404221267
10326_g_at	12.14108895	8.454604741
10327_at	3.847170242	3.310345525
10328_at	6.000364812	6.919783621
10329_at	9.595797961	8.301772989
10330_at	3.904821438	4.560816447
10331_at	8.633176089	10.69422764
10332_at	9.483751278	6.203948457
10333_at	3.937084198	4.279831194
10334_at	7.361373861	9.173979662
10335_at	7.99922592	5.216882298
10336_at	3.947378404	3.434482642
10337_at	5.255336914	4.364596003
10338_at	3.966135918	3.503924031
10339_at	6.290732576	5.775057588
10340_at	6.982194012	6.358389868
10341_at	4.708120262	3.926146556
10342_at	4.738563345	5.111154598
10343_at	6.737883481	8.016249529
10344_at	8.366478255	7.15633114
10345_at	8.792587516	5.647063607
10346_at	7.474488448	8.510398174
10347_at	8.775968487	8.793615244
10348_at	6.676844899	7.841045619
10349_at	8.907083735	9.205173692
10350_at	9.253940197	7.94723104
10351_at	6.972202547	4.887720762
10352_at	8.944375847	5.430891146
10353_at	6.340402603	3.415906053
10354_at	5.300425682	4.303542394
10355_at	7.220020962	7.790009256
10356_at	3.454099982	4.298119993
10357_at	8.396155792	9.098934598
10358_at	8.308304156	11.69775042
10359_at	7.513882233	11.40255274
10360_at	8.35796542	9.241675328
10361_f_at	6.909189183	12.5232808
10362_at	10.22483738	10.54516719
10363_at	7.208917436	7.554096177
10364_at	7.134783461	7.363232191
10365_at	5.971237607	5.013794837
10366_i_at	9.209735306	10.79470211
10367_r_at	7.006240808	8.199081928
10368_s_at	10.08410543	11.66720089
10369_at	6.831740597	8.522117775
10370_at	10.3978138	9.123006495
10371_at	4.003400594	3.654936327
10372_at	3.422035987	3.183628426
10373_at	5.694581964	5.968433863
10374_at	7.017365815	9.772060459
10375_at	7.02912582	8.962152504
10376_at	5.479346066	4.936906081
10377_at	7.264334988	8.070389459
10378_at	6.237902472	6.739193023
10379_at	6.846350943	6.703688304
10380_at	9.684623482	10.41333742
10381_at	5.368304947	6.497496601
10382_at	8.087635905	7.264430618
10383_at	5.874140231	5.395253287
10384_at	6.816313851	5.566520214
10385_i_at	11.53989849	8.61000272
10386_s_at	11.56352385	8.138281828
10387_at	5.997070061	4.023619141
10388_at	8.422537082	9.556168528
10389_at	7.107093105	8.791168795
10390_at	8.670788096	9.438110434
10391_at	5.002206557	8.277808978
10392_at	9.678728174	10.43534948
10393_at	5.130243121	4.107872279
10394_at	4.527493951	3.6393486
10395_at	8.308087697	6.286922495
10396_at	6.000331399	5.403147877
10397_at	5.35523395	5.062011821
10398_at	5.230375536	6.085359567
10399_at	3.348195065	3.170874623
10400_at	2.75636057	2.561319873
10401_at	5.080075736	5.562448424
10402_at	3.380121637	2.873795656
10403_at	4.281141529	3.950912168
10404_at	4.831034907	7.016205097
10405_at	5.231723848	5.129449859
10406_at	5.324756996	4.897514021
10407_at	6.067917225	6.17763388
10408_at	7.289573727	7.84548859
10409_at	8.873030169	7.792208185
10410_at	5.64301052	6.62199767
10411_f_at	5.500516624	5.958121909
10412_f_at	6.630957346	11.77935447
10413_at	5.818733778	5.874566433
10414_at	4.118172549	5.816287066
10415_at	5.401154786	4.680842674
10416_at	8.425303487	8.972130421
10417_at	3.358451859	4.879774188
10418_at	5.283468821	7.002417912
10419_at	5.787970728	6.636480425
10420_at	7.592614794	7.606611175
10421_at	8.15876545	9.148503301
10422_at	6.645394514	6.182243916
10423_at	4.730128039	4.625774704
10424_at	4.559695076	6.156119437
10425_at	6.307951912	8.258973447
10426_at	3.279475377	3.470693598
10427_at	3.849553885	3.268036438
10428_at	3.055712546	3.18427866
10429_at	3.68546697	3.395215599
10430_at	3.815084322	6.026987403
10431_at	4.385396273	4.489650427
10432_at	5.418987415	7.658158364
10433_at	4.138074021	5.813543312
10434_at	4.902472983	6.091425931
10435_at	4.131858437	3.556328727
10436_at	4.622268844	4.843419884
10437_at	6.099090263	5.759017301
10438_at	3.51523851	4.266161523
10439_at	7.275232642	9.011504645
10440_at	4.204126456	4.377202888
10441_at	3.118084818	3.172646859
10442_s_at	4.47484076	7.460384621
10443_at	4.734290875	4.99679136
10444_at	6.491827448	6.46212786
10445_s_at	7.216101904	10.60118109
10446_s_at	5.164369482	9.186258556
10447_s_at	6.708727529	9.682123758
10448_s_at	6.754890701	5.617421348
10449_at	3.983887941	4.264273121
10450_at	4.678655848	3.997637429
10451_at	6.287244829	7.000458829
10452_at	6.994826254	5.003727351
10453_at	3.071430057	2.738097916
10454_at	4.87915597	4.273389542
10455_at	3.413471068	4.289044402
10456_at	5.912390776	5.530477023
10457_at	2.458805921	2.827204178
10458_at	5.324048919	5.207307444
10459_at	5.49224601	5.921140521
10460_at	6.772533091	6.319870669
10461_at	5.750204266	4.839495671
10462_at	9.120622894	10.75210295
10463_at	4.951464568	9.484013361
10464_at	7.603488477	7.118616916
10465_at	5.955866505	5.511100724
10466_at	6.307287104	6.389329403
10467_at	6.995926812	6.523437237
10468_at	5.958253232	7.651087438
10469_at	5.77998174	4.672402905
10470_at	6.573481258	8.128147935
10471_at	8.432784269	6.540521559
10472_at	8.253203105	10.32997978
10473_i_at	10.73910725	7.642298415
10474_s_at	11.68666735	9.94674534
10475_at	6.427449532	6.320953114
10476_at	6.736232506	7.756108529
10477_g_at	4.717724242	5.745680198
10478_at	10.35538199	7.612092339
10479_at	6.023576404	6.337675404
10480_at	8.09387611	6.537880852
10481_at	8.268493526	8.76823057
10482_at	4.323319476	6.003950598
10483_at	4.877715208	7.849544666
10484_at	3.576167195	3.881636404
10485_at	4.838819523	5.666638826
10486_s_at	4.259473737	3.435466384
10487_at	6.148118917	5.472040074
10488_at	7.160404916	5.673832937
10489_at	4.726874658	6.159118274
10490_at	7.163835229	7.301448082
10491_at	6.812950079	8.000298311
10492_at	6.510018378	7.868803575
10493_at	8.276529722	8.559108876
10494_at	7.034201768	9.227904064
10495_at	4.812550148	6.069552253
10496_at	8.836309981	8.262443265
10497_at	7.605968821	7.476336087
10498_at	5.584191063	5.804827413
10499_at	7.55110656	6.725656394
10500_at	7.400735959	7.336491132
10501_at	7.74205769	7.431688398
10502_at	4.57895826	5.527897987
10503_at	5.961921663	5.401375506
10504_at	4.722686391	2.900376425
10505_at	7.022698643	8.592538956
10506_at	11.48128314	6.908067556
10507_at	7.079358372	5.19167325
10508_at	4.364097933	3.588771049
10509_at	6.283791901	4.826516756
10510_at	8.105872664	7.318229649
10511_at	7.984587193	9.093161331
10512_at	5.473011039	5.62296948
10513_at	3.197396895	3.161636268
10514_at	11.59181503	11.44294764
10515_at	9.462117105	8.570885898
10516_at	5.141586496	4.90039947
10517_at	5.802165606	5.436691197
10518_at	9.684275061	10.3415994
10519_at	6.789011724	7.271450345
10520_at	9.632674169	9.947544017
10521_at	9.048136577	9.495261018
10522_at	4.951957459	5.316827438
10523_at	5.765608929	5.715175025
10524_at	8.299591644	7.091188787
10525_at	5.46269565	10.7045338
10526_at	5.569461536	6.369127165
10527_at	4.548137496	3.960334466
10528_at	8.814371799	5.99066733
10529_i_at	13.47717688	11.25290903
10530_at	4.643922085	4.916680333
10531_at	8.658834083	5.277540602
10532_at	9.769895917	10.01728208
10533_at	6.84767036	4.605881587
10534_at	3.760805149	4.571270856
10535_at	7.196042442	7.476959572
10536_at	4.356447955	5.395891533
10537_at	3.740479037	3.263937097
10538_at	6.501600437	6.653429349
10539_at	5.673161624	4.437015189
10540_at	6.045449374	5.310781734
10541_at	7.387452171	4.170937138
10542_at	8.704809838	6.651151994
10543_at	8.255659231	4.954884966
10544_at	6.439384173	6.102229252
10545_at	7.888639731	7.069614449
10546_at	6.229907627	6.083437315
10547_at	7.440453283	6.676532758
10548_at	5.506333455	6.851562013
10549_at	4.052108243	4.174497984
10550_at	5.162942307	4.810295476
10551_at	5.516980424	8.111077089
10552_at	5.844810759	6.0625938
10553_at	6.410066625	5.088482475
10554_at	6.136966716	5.554556073
10555_at	7.860163132	8.151819873
10556_i_at	11.65929238	7.781871079
10557_f_at	12.55701346	9.40991293
10558_s_at	12.45661525	10.51683128
10559_at	7.021346658	7.509251116
10560_at	10.18135617	10.52942333
10561_at	8.542925435	9.03424175
10562_at	7.87742596	7.981497932
10563_at	7.81191068	9.663287389
10564_at	5.700710487	5.980874026
10565_at	7.227257724	8.479783644
10566_at	3.752448049	5.564555135
10567_at	5.221825183	6.195266892
10568_at	4.347600171	6.120986751
10569_at	7.546996568	6.950537866
10570_at	7.483178193	6.590048771
10571_at	4.616298733	5.211744704
10572_at	6.524454981	7.228379509
10573_at	6.450047723	5.462287286
10574_at	4.712997516	7.993267277
10575_at	5.385626147	6.079248055
10576_at	6.300494165	6.216531341
10577_at	8.602613697	10.107417
10578_at	3.221497379	3.229069869
10579_at	7.917743161	6.57783723
10580_at	8.544918317	5.318213583
10581_at	7.161454717	9.255367577
10582_at	4.69053901	5.182944822
10583_at	10.70381761	9.62519952
10584_at	4.322444871	7.058406395
10585_at	4.319010471	4.940614498
10586_at	7.16512011	4.082369962
10587_at	6.51392436	7.662953609
10588_at	7.340408157	7.055486312
10589_at	6.682571303	5.176807197
10590_at	4.472131622	6.061680183
10591_at	5.896505788	5.742477944
10592_at	5.413061162	7.466349418
10593_at	6.99621106	3.663718745
10594_at	7.304404897	7.306791204
10595_at	5.86729122	6.321076574
10596_at	4.864490565	4.600818882
10597_at	7.669278029	8.302232755
10598_at	10.99155893	6.789916321
10599_at	7.707205405	8.576722488
10600_at	5.67582118	7.208765844
10601_at	7.162449043	5.62216323
10602_at	4.277415204	4.469068925
10603_at	7.806812035	5.547586022
10604_at	5.781347951	5.23777161
10605_at	5.832644208	5.824870725
10606_at	8.744330651	10.08536123
10607_at	6.653300422	6.88942105
10608_at	6.786889076	6.819892175
10609_at	8.843668488	9.175506681
10610_at	4.445470208	3.704191102
10611_at	6.587035821	6.017233641
10612_at	7.113660584	5.378894037
10613_at	7.654641358	6.375244508
10614_at	7.415748179	9.101168082
10615_at	6.197985941	6.285003348
10616_at	3.774269792	3.577337914
10617_at	7.393628305	9.703744725
10618_at	6.857810526	7.615335236
10619_at	5.655058047	4.246207465
10620_at	8.177226408	10.60572826
10621_at	6.698324138	8.516874228
10622_at	4.91117143	6.152095711
10623_at	9.733099261	10.89510407
10624_at	4.528447125	5.037637088
10625_at	8.722283057	10.13924034
10626_at	5.139825965	8.196206365
10627_at	7.917743096	7.864775068
10628_at	5.819881017	6.010714557
10629_at	8.721111508	10.0183282
10630_at	6.539566909	7.890117487
10631_at	6.834855169	8.22521429
10632_at	8.066014612	9.132600917
10633_at	9.065265101	8.13573996
10634_at	7.080857037	6.562528215
10635_at	4.899860032	4.756805011
10636_at	12.63039423	12.6944165
10637_at	8.660379505	8.466350183
10638_at	8.818003111	8.238944959
10639_at	6.154979538	5.708582899
10640_at	12.72978025	10.20610907
10641_at	5.20321071	5.296402146
10642_at	8.889499901	9.779687216
10643_at	9.770860345	10.74720284
10644_at	6.301123109	7.33968423
10645_at	6.732244994	8.925396429
10646_at	6.563713291	9.502863749
10647_at	4.092412436	3.782673714
10648_at	6.336034663	7.423086048
10649_at	5.540252232	4.66145905
10650_at	6.797903154	6.251074252
10651_at	6.184917404	5.850192442
10652_at	7.294821354	8.735869263
10653_at	5.77963913	8.059331246
10654_at	8.750557331	10.5160519
10655_at	6.037015124	7.430703777
10656_at	9.999167948	8.212971572
10657_at	6.577409136	6.622033169
10658_at	7.893807607	4.685122861
10659_at	9.652929731	5.739493568
10660_at	8.756494013	8.644606428
10661_at	7.337143149	6.791372381
10662_at	7.87322391	5.396286909
10663_at	9.251076367	7.246723472
10664_at	7.288436067	6.820065891
10665_g_at	6.889058235	5.720262978
10666_at	6.269576239	5.186281024
10667_at	7.331289158	6.89354099
10668_at	7.25712222	7.148546734
10669_at	6.155688846	5.468121892
10670_at	8.529119637	5.631961421
10671_at	7.843155993	7.161648126
10672_at	4.861567893	5.23284534
10673_at	5.26412708	5.580724469
10674_at	9.765974319	7.924354759
10675_at	8.293372099	10.36187835
10676_at	5.046449506	7.525528572
10677_at	5.138757483	5.82861856
10678_at	5.752177471	6.967695424
10679_at	4.985632775	5.914882728
10680_at	7.453943131	7.178556152
10681_at	4.265333241	9.091079256
10682_at	4.199709339	4.33383682
10683_at	3.51109117	3.901111859
10684_at	7.456710384	7.920757842
10685_at	7.143893891	4.365060489
10686_at	7.57572487	7.569503581
10687_at	5.734524299	5.157914662
10688_at	10.27498736	10.25725802
10689_at	9.918439337	8.302121695
10690_at	5.508179015	4.953464188
10691_at	7.830905879	10.33038716
10692_at	5.571145857	5.706508492
10693_at	6.860849383	7.127698524
10694_at	3.932496263	4.127587979
10695_at	4.570611377	4.2754639
10696_at	4.785608249	6.277849378
10697_at	4.717670106	4.25446289
10698_at	7.21585127	5.365938467
10699_at	4.490989201	6.049221513
10700_at	7.342365457	6.65080972
10701_at	5.449300435	5.209435194
10702_at	7.739083493	8.944903501
10703_at	7.613991709	6.952234389
10704_at	6.225494385	6.839010256
10705_g_at	5.022640375	5.823489791
10706_at	6.163844341	7.757733911
10707_at	9.066644113	7.037190826
10708_at	5.818467764	6.44466554
10709_at	10.94651737	7.6592261
10710_at	7.13175585	6.367880514
10711_at	3.841122814	3.499732684
10712_at	7.85716046	7.336626227
10713_at	5.839842005	5.534598988
10714_at	6.600625715	5.675989826
10715_at	5.646110316	5.726842905
10716_at	6.651006821	9.009185212
10717_at	12.0086307	10.26512504
10718_at	5.486528677	5.177735727
10719_at	6.993820326	4.676678801
10720_at	4.403996875	4.488529624
10721_at	11.52922362	12.54818817
10722_at	6.14937421	9.664445633
10723_at	7.83492249	8.224706822
10724_at	5.374921144	5.511235983
10725_at	7.174067196	9.51611069
10726_at	5.696934201	5.434910183
10727_at	9.004011095	10.58885182
10728_at	9.049456351	9.255028978
10729_at	7.428180022	3.530176165
10730_at	8.309671939	5.894647607
10731_at	8.357771929	10.56020593
10732_at	7.966744564	8.352782016
10733_at	6.345033488	5.941828658
10734_at	6.214152807	5.649433262
10735_at	7.697913022	7.37373596
10736_at	7.717680476	7.345944859
10737_at	11.50054832	9.773397354
10738_i_at	12.76033934	9.594128815
10739_f_at	11.89088306	9.357740106
10740_at	6.530469494	6.291138463
10741_at	4.738122261	3.866144677
10742_at	5.349212004	4.993300512
10743_at	6.67671919	6.613306805
10744_at	9.250785347	9.256722061
10745_at	7.188908969	6.07081696
10746_at	5.909090925	4.565179826
10747_at	9.664901165	5.83102816
10748_at	5.729396049	7.556432861
10749_at	8.264957644	6.866753553
10750_at	5.847938949	5.593264228
10751_at	4.871578481	5.571848226
10752_at	8.683362548	7.950108539
10753_at	7.269781526	5.697318446
10754_at	7.431256051	8.092024901
10755_at	6.316582142	8.279327601
10756_at	6.847772124	11.29220174
10757_at	4.546686862	4.558121386
10758_at	4.336497934	4.433377105
10759_at	9.220147578	7.484408141
10760_at	7.751609915	6.649302805
10761_at	7.187600512	5.316013576
10762_at	7.148484843	7.003401862
10763_at	5.597639801	8.005272456
10764_at	5.228040159	6.542345911
10765_at	4.897305693	5.3389772
10766_at	9.6578334	9.616720899
10767_at	6.819996345	8.060482523
10768_at	4.67319913	4.983879375
10769_at	4.69404396	6.214816495
10770_at	8.997166924	9.432810639
10771_at	8.487194005	7.56924748
10772_at	7.650575017	7.782599945
10773_at	8.314029461	8.278141456
10774_at	5.236271325	5.463711224
10775_at	3.357451969	4.575598249
10776_at	4.015330911	4.983366143
10777_at	7.94204435	7.732331295
10778_at	6.419304501	8.362627541
10779_at	6.152261562	4.909118162
10780_at	7.314896932	5.981812914
10781_at	8.797299783	11.16328778
10782_at	10.42327305	11.82975823
10783_at	3.635113859	4.757870129
10784_at	6.778307137	9.206960395
10785_at	5.56578518	7.304383878
10786_i_at	3.195412009	3.817397671
10787_at	6.922215215	11.00409454
10788_at	3.552204787	3.701078147
10789_f_at	5.986335496	10.67863199
10790_at	4.842504826	5.35450788
10791_at	4.13658919	4.609140168
10792_at	4.895353186	4.704120266
10793_at	6.604673481	6.025693015
10794_at	6.602957464	6.904640746
10795_at	7.002373477	6.708218035
10796_at	9.971075276	7.459992483
10797_at	5.583037697	6.18722154
10798_at	7.544543081	5.968736909
10799_at	6.379068187	7.2792666
10800_at	8.510962542	7.832075767
10801_at	7.273561202	7.440263725
10802_at	7.062002787	7.870817467
10803_at	3.618123325	3.405510442
10804_at	6.563081048	5.495589928
10805_at	7.782787822	7.825128166
10806_at	3.238661422	2.840719792
10807_at	6.908068699	8.363628658
10808_at	3.637107336	3.325832324
10809_g_at	4.645821402	3.78141197
10810_i_at	3.881950019	3.292593877
10811_at	4.556372117	3.897998354
10812_s_at	3.012711408	3.331562369
10813_s_at	7.068731498	6.89045927
10814_s_at	6.153245726	7.493823807
